Category_ID,Category_path,Top-Level Category (Level 1),Sub Category (Level 2),Product Category (Level 3),Product Category (Level 4),Product Category (Level 5),Product Category (Level 6),Product Category (Level 7),Product Category (Level 8),Product Category (Level 9),Product Category (Level 10),Assureful RR,Straight Through business,Refer to UW,Refer to Capacity,Reject,Special Acceptance,QBE Comments,Generated_Keywords
amazonfresh,Amazon Fresh,Amazon Fresh,,,,,,,,,,7,,,,Yes,Reject ,Agree - automatic decline,"amazon, amazon fresh, fresh"
2858778011,Amazon Instant Video,Amazon Instant Video,,,,,,,,,,1,Yes,,,,Straight Through Business,0,"amazon, amazon instant video, instant, video"
2858905011,Amazon Instant Video/Movies,Amazon Instant Video,Movies,,,,,,,,,1,Yes,,,,Straight Through Business,OK with exposure,"amazon instant video, amazon instant video movies, movies"
2864549011,Amazon Instant Video/TV,Amazon Instant Video,TV,,,,,,,,,1,Yes,,,,Straight Through Business,OK with exposure,"amazon instant video, amazon instant video tv, tv"
2619526011,Appliances,Appliances,,,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,appliances
2242350011,Appliances/Appliance Warranties,Appliances,Appliance Warranties,,,,,,,,,4,,,Yes,,Referral to Capacity,OK with exposure - (as a referral). Not sure what this is but remember it is a products completed operations policy so if the insured is arranging any appliance repair there would be exposure to physical injury. Could we use a higher hazard index?,"appliance, appliance warranties, warranties"
3741281,Appliances/Dishwashers/Built-In Dishwashers,Appliances,Dishwashers,Built-In Dishwashers,,,,,,,,5,Yes,,,,Straight Through Business,0,"built-in, built-in dishwashers, dishwashers"
19201451011,Appliances/Dishwashers/Countertop Dishwashers,Appliances,Dishwashers,Countertop Dishwashers,,,,,,,,5,Yes,,,,Straight Through Business,0,"countertop, countertop dishwashers, dishwashers"
19201449011,Appliances/Dishwashers/Portable Dishwashers,Appliances,Dishwashers,Portable Dishwashers,,,,,,,,5,Yes,,,,Straight Through Business,0,"dishwashers, portable, portable dishwashers"
18116205011,Appliances/Garbage Disposals & Compactors,Appliances,Garbage Disposals & Compactors,,,,,,,,,5,Yes,,,,Straight Through Business,0,"compactors, disposals, garbage, garbage disposals compactors"
3226848011,Appliances/Garbage Disposals & Compactors/Garbage Disposals,Appliances,Garbage Disposals & Compactors,Garbage Disposals,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"disposals, garbage, garbage disposals"
3741451,Appliances/Garbage Disposals & Compactors/Trash Compactors,Appliances,Garbage Disposals & Compactors,Trash Compactors,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"compactors, trash, trash compactors"
18116199011,"Appliances/Heating, Cooling & Air Quality",Appliances,"Heating, Cooling & Air Quality",,,,,,,,,5,Yes,,,,Straight Through Business,0,"air, cooling, heating, heating cooling air quality, quality"
18116200011,"Appliances/Heating, Cooling & Air Quality/Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,,,,,,,,5,Yes,,,,Straight Through Business,0,"air, air purifiers, purifiers"
510196,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/Air Ionizers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,Air Ionizers,,,,,,,5,Yes,,,,Straight Through Business,0,"air, air ionizers, ionizers"
3737411,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/Charcoal Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,Charcoal Air Purifiers,,,,,,,5,,,,Yes,Reject,NO,"air, charcoal, charcoal air purifiers, purifiers"
3737421,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/Electrostatic Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,Electrostatic Air Purifiers,,,,,,,5,Yes,,,,Straight Through Business,0,"air, electrostatic, electrostatic air purifiers, purifiers"
510192,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/HEPA Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,HEPA Air Purifiers,,,,,,,5,Yes,,,,Straight Through Business,0,"air, hepa, hepa air purifiers, purifiers"
3737451,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/Travel-Size Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,Travel-Size Air Purifiers,,,,,,,5,Yes,,,,Straight Through Business,0,"air, purifiers, travel-size, travel-size air purifiers"
3737431,"Appliances/Heating, Cooling & Air Quality/Air Purifiers/ULPA Air Purifiers",Appliances,"Heating, Cooling & Air Quality",Air Purifiers,ULPA Air Purifiers,,,,,,,5,Yes,,,,Straight Through Business,0,"air, purifiers, ulpa, ulpa air purifiers"
267557011,"Appliances/Heating, Cooling & Air Quality/Dehumidifiers",Appliances,"Heating, Cooling & Air Quality",Dehumidifiers,,,,,,,,7,Yes,,,,Straight Through Business,0,"dehumidifiers, heating cooling air quality, heating cooling air quality dehumidifiers"
3737601,"Appliances/Heating, Cooling & Air Quality/Fans",Appliances,"Heating, Cooling & Air Quality",Fans,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026,"fans, heating cooling air quality, heating cooling air quality fans"
510182,"Appliances/Heating, Cooling & Air Quality/Space Heaters",Appliances,"Heating, Cooling & Air Quality",Space Heaters,,,,,,,,5,Yes,,,,Straight Through Business,0,"heaters, space, space heaters"
