Category_ID,Category_path,Top-Level Category (Level 1),Sub Category (Level 2),Product Category (Level 3),Product Category (Level 4),Product Category (Level 5),Product Category (Level 6),Product Category (Level 7),Product Category (Level 8),Product Category (Level 9),Product Category (Level 10),Assureful RR,Straight Through business,Refer to UW,Refer to Capacity,Reject,Special Acceptance,QBE Comments
amazonfresh,Amazon Fresh,Amazon Fresh,,,,,,,,,,7,,,,Yes,Reject ,Agree - automatic decline
2858778011,Amazon Instant Video,Amazon Instant Video,,,,,,,,,,1,Yes,,,,Straight Through Business,0
2858905011,Amazon Instant Video/Movies,Amazon Instant Video,Movies,,,,,,,,,1,Yes,,,,Straight Through Business,OK with exposure
2864549011,Amazon Instant Video/TV,Amazon Instant Video,TV,,,,,,,,,1,Yes,,,,Straight Through Business,OK with exposure
2619526011,Appliances,Appliances,,,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
2242350011,Appliances/Appliance Warranties,Appliances,Appliance Warranties,,,,,,,,,4,,,Yes,,Referral to Capacity,OK with exposure - (as a referral). Not sure what this is but remember it is a products completed operations policy so if the insured is arranging any appliance repair there would be exposure to physical injury. Could we use a higher hazard index?
3741281,Appliances/Dishwashers/Built-In Dishwashers,Appliances,Dishwashers,Built-In Dishwashers,,,,,,,,5,Yes,,,,Straight Through Business,0
19201451011,Appliances/Dishwashers/Countertop Dishwashers,Appliances,Dishwashers,Countertop Dishwashers,,,,,,,,5,Yes,,,,Straight Through Business,0
19201449011,Appliances/Dishwashers/Portable Dishwashers,Appliances,Dishwashers,Portable Dishwashers,,,,,,,,5,Yes,,,,Straight Through Business,0
18116205011,Appliances/Garbage Disposals & Compactors,Appliances,Garbage Disposals & Compactors,,,,,,,,,5,Yes,,,,Straight Through Business,0
3226848011,Appliances/Garbage Disposals & Compactors/Garbage Disposals,Appliances,Garbage Disposals & Compactors,Garbage Disposals,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
3741451,Appliances/Garbage Disposals & Compactors/Trash Compactors,Appliances,Garbage Disposals & Compactors,Trash Compactors,,,,,,,,5,,Yes,,,Reject & Log,NO - FOR DISCUSSIONS in 2H 2025 and 2026
